Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,FTR,Squad_Goals,Opponent_Goals
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,Y,DM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Italy,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Spain,Y,CB,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,6
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,1,6
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Spain,N,,7,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,6
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Spain,Y,LB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,6
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,1,6
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y,FW,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y*,CM,90,3,1,1,1,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y,LB,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,N,,20,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0
29-05-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y*,CM,90,3,1,1,1,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,Y*,"AM,CM",90,0,0,0,1,10,2,0,0,95,1,1,0,1.2,0.4,0.1,13,0,62,73,84.9,9,8,12,Match Report,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,Y,LW,74,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.1,4,0,34,43,79.1,1,0,0,Match Report,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,Y*,"AM,CM",90,0,0,0,1,10,2,0,0,95,1,1,0,1.2,0.4,0.1,13,0,62,73,84.9,9,8,12,Match Report,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,Y,CB,90,0,0,0,0,3,1,0,0,93,1,1,1,0.1,0.1,0,1,0,69,77,89.6,5,0,0,Match Report,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,Argentina,Iceland,Y,LB,90,0,0,0,0,1,0,0,0,61,0,0,0,0,0,0.1,4,0,54,59,91.5,1,0,0,Match Report,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,D,1,1
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,Y,WB,90,0,0,0,0,1,0,1,0,63,3,0,2,0,0,0,2,0,31,47,66,1,1,2,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,Y,CB,90,0,0,0,0,0,0,0,0,94,2,3,3,0,0,0.1,1,0,66,81,81.5,6,1,2,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,Y*,AM,90,0,0,0,0,1,0,0,0,38,2,0,1,0.6,0.6,0.1,5,0,24,33,72.7,2,5,6,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,Y*,AM,90,0,0,0,0,1,0,0,0,38,2,0,1,0.6,0.6,0.1,5,0,24,33,72.7,2,5,6,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,Y,CB,90,0,0,0,0,1,0,1,0,83,3,2,0,0,0,0,1,0,64,74,86.5,3,0,0,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,Argentina,Croatia,N,WB,23,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,9,11,81.8,0,0,0,Match Report,,,,,,,,,3,0,2,50,1,0,0,0,2,5,2,0,L,0,3
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,LB,79,0,0,0,0,2,0,0,0,61,1,0,0,0.1,0.1,0,0,0,45,55,81.8,3,1,1,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,LM,71,0,0,0,0,1,0,0,0,35,2,2,0,0.1,0.1,0,1,0,14,24,58.3,2,1,2,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y*,"FW,AM",90,1,0,0,0,2,2,1,0,79,1,0,3,0.2,0.2,0.5,4,0,51,67,76.1,4,7,9,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,CB,90,0,0,0,0,0,0,0,0,84,3,2,1,0,0,0,0,0,59,69,85.5,2,0,0,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,26,61.5,0,0,0,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y*,"FW,AM",90,1,0,0,0,2,2,1,0,79,1,0,3,0.2,0.2,0.5,4,0,51,67,76.1,4,7,9,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,1
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y,LB,90,0,0,0,0,0,0,1,0,37,1,0,1,0,0,0,0,0,28,33,84.8,2,0,0,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,26,32,81.3,0,0,0,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y*,FW,90,0,2,0,0,4,1,0,0,55,1,0,3,0.2,0.2,0.4,6,2,33,41,80.5,7,3,5,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y,"LW,LM",90,1,0,0,0,2,1,0,0,35,0,0,0,0.1,0.1,0,3,1,13,26,50,1,2,3,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y,CB,90,0,0,0,0,0,0,1,0,85,4,2,1,0,0,0,0,0,69,78,88.5,5,0,0,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,Y*,FW,90,0,2,0,0,4,1,0,0,55,1,0,3,0.2,0.2,0.4,6,2,33,41,80.5,7,3,5,Match Report,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
30-06-2018,Sat,FIFA World Cup,Round of 16,Neutral,Argentina,France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,25,3,3,0,3,0,1,0,0,L,3,4
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,Y,CM,65,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,Y,CM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,Y*,LB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,,,,,,,,,,,,,,W,3,0
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Guatemala,Y,CB,55,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,3,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,N,,6,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,Y*,LB,84,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,N,,37,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,Y,CM,53,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,0,0
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,Argentina,Colombia,N,,23,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,D,0,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,Y,LB,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,Y,DM,59,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,Y,CB,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,Y,AM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,Argentina,Iraq,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,DM,87,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,AM,71,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,AM,45,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,DM,88,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
16-11-2018,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,GK,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,,10,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,,36,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,W,2,0
20-11-2018,Tue,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,2,0
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,N,WB,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,5,100,0,0,0,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,CB,90,0,0,0,0,0,0,0,0,84,2,2,2,0,0,0,0,0,65,73,89,2,0,0,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,LM,58,0,0,0,0,0,0,1,0,29,1,1,1,0,0,0,0,0,16,19,84.2,1,2,2,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,LB,84,0,0,0,0,0,0,1,0,48,5,0,0,0,0,0,1,0,33,40,82.5,2,1,1,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y*,AM,90,0,0,0,0,4,1,0,0,52,1,1,0,0.2,0.2,0.2,11,0,33,42,78.6,3,7,9,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y*,AM,90,0,0,0,0,4,1,0,0,52,1,1,0,0.2,0.2,0.2,11,0,33,42,78.6,3,7,9,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,GK,90,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,16,68.8,0,0,0,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,N,"AM,WB,LM",32,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,8,14,57.1,1,2,3,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,RM,66,0,0,0,0,1,0,0,0,37,0,1,0,0,0,0,1,0,26,32,81.3,4,1,2,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,"DM,CM",90,0,0,0,0,1,0,0,0,90,3,1,0,0,0,0,2,0,75,82,91.5,4,0,0,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,"RB,CB",90,0,0,0,0,0,0,1,0,42,3,0,0,0,0,0,2,0,31,35,88.6,1,5,6,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
07-02-2019,Tue,Copa América,Semi-finals,Neutral,Argentina,Brazil,Y,CB,90,0,0,0,0,0,0,0,0,56,3,1,1,0,0,0,0,0,44,47,93.6,1,0,0,Match Report,,,,,,,,,1,0,2,0,2,1,0,1,1,2,0,0,L,0,2
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,3
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,3
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,3
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,1,3
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,3
22-03-2019,Fri,Friendlies (M),Friendlies (M),Home,Argentina,Venezuela,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,L,1,3
