,Date,Venue,Squad,Opponent,FTR,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Squad_Goals,Opponent_Goals,Team1_Elo,Team2_Elo
27,2018-03-27,Home,England,Italy,D,0.0,0.0,0.0,0.0,,,0.14285714285714285,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1611.42,1583.68
28,2018-03-27,Home,Mexico,Croatia,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,1.0,1600.9599999999998,1606.82
29,2018-03-27,Home,Spain,Argentina,W,0.0,0.4,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1611.0800000000002,1581.0800000000002
30,2018-03-27,Home,United States,Paraguay,W,0.0,0.0,0.0,0.0,,,0.4,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,0.0,1604.48,1587.28
31,2018-03-27,Home,Denmark,Chile,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1604.2,1597.0
32,2018-03-27,Away,Scotland,Hungary,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1581.7800000000002,1587.9
33,2018-03-27,Away,Saudi Arabia,Belgium,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,4.0,1591.28,1607.08
34,2018-03-27,Home,Tunisia,Costa Rica,W,0.125,0.0,0.0,0.0,,,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1628.8200000000002,1587.7600000000002
35,2018-03-27,Home,Iran,Algeria,W,0.2,0.2,0.0,0.0,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1589.8200000000002,1587.68
36,2018-05-09,Home,Saudi Arabia,Algeria,W,0.2,0.0,0.0,0.0,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1598.3799999999999,1574.78
37,2018-05-15,Home,Saudi Arabia,Greece,W,0.3333333333333333,0.0,0.0,0.0,,,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1605.62,1587.24
38,2018-05-19,Home,Iran,Uzbekistan,W,0.08333333333333333,0.08333333333333333,0.0,0.0,,,0.08333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,0.0,1597.2200000000003,1584.6000000000001
39,2018-05-28,Away,Wales,Mexico,D,0.0,0.0,0.0,0.0,,,0.058823529411764705,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,1597.22,1598.1799999999998
40,2018-05-28,Home,Mexico,Wales,D,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,1595.36,1594.4
41,2018-05-28,Home,Saudi Arabia,Italy,L,0.0,0.14285714285714285,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1592.2399999999998,1590.3
42,2018-05-28,Home,United States,Bolivia,W,0.5,0.16666666666666666,0.0,0.0,,,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1611.56,1587.08
43,2018-05-28,Home,France,Rep. of Ireland,W,0.14285714285714285,0.14285714285714285,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1602.08,1587.34
44,2018-05-28,Away,Iran,Turkey,L,0.0,0.0,0.0,0.0,,,0.07692307692307693,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1584.6800000000003,1614.66
45,2018-05-28,Away,Ireland,France,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1574.8,1609.6799999999998
46,2018-05-28,Away,Tunisia,Portugal,D,0.0,0.16666666666666666,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1624.9800000000002,1584.0400000000002
47,2018-05-29,Home,Argentina,Haiti,W,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1588.7800000000002,1587.7
48,2018-05-31,Away,Senegal,Luxembourg,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1591.4199999999998,1597.36
49,2018-05-31,Away,Netherlands,Slovakia,D,0.0,0.14285714285714285,0.0,0.0,,,0.14285714285714285,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1580.4800000000002,1597.66
50,2018-06-01,Home,Australia,Czech Republic,W,0.25,0.125,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,0.0,1592.54,1587.6
51,2018-06-01,Away,Tunisia,Turkey,D,0.14285714285714285,0.0,0.0,0.0,,,0.14285714285714285,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1621.9000000000003,1611.5800000000002
52,2018-06-01,Home,France,Italy,W,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1616.3799999999999,1577.0
53,2018-06-02,Home,Mexico,Scotland,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1602.1999999999998,1568.6200000000001
54,2018-06-02,Home,Ireland,United States,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1583.0,1599.76
55,2018-06-02,Home,England,Nigeria,W,0.125,0.125,0.0,0.0,,,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1618.5,1594.28
56,2018-06-02,Away,United States,Rep. of Ireland,L,0.0,0.0,0.0,0.0,,,0.25,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,2.0,1586.64,1594.22
57,2018-06-02,Away,Denmark,Sweden,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1601.28,1597.08
58,2018-06-03,Home,Saudi Arabia,Peru,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1579.6399999999999,1607.4
59,2018-06-03,Home,Costa Rica,Northern Ireland,W,0.375,0.125,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1595.2800000000002,1587.52
60,2018-06-03,Home,Spain,Switzerland,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1607.9800000000002,1596.9
61,2018-06-04,Away,Netherlands,Italy,D,0.125,0.125,0.0,0.0,,,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1577.5800000000002,1574.1
62,2018-06-07,Home,England,Costa Rica,W,0.14285714285714285,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,0.0,1625.1,1581.88
63,2018-06-07,Away,Costa Rica,England,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1570.2600000000002,1633.48
64,2018-06-08,Away,Saudi Arabia,Germany,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1567.32,1604.88
65,2018-06-08,Away,Senegal,Croatia,L,0.25,0.0,0.0,0.0,,,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1579.0399999999997,1614.4399999999998
66,2018-06-08,Home,Iran,Lithuania,W,0.07692307692307693,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1592.2800000000002,1587.6
67,2018-06-08,Home,Poland,Chile,D,0.2222222222222222,0.2222222222222222,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1592.0,1594.26
68,2018-06-09,Away,Australia,Hungary,W,0.0,0.16666666666666666,0.0,0.0,,,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1599.62,1574.98
69,2018-06-09,Away,Mexico,Denmark,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1589.3799999999999,1608.46
70,2018-06-09,Away,Tunisia,Spain,L,0.0,0.0,0.0,0.0,,,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1608.7400000000002,1614.8200000000002
71,2018-06-09,Away,United States,France,D,0.0,0.0,0.0,0.0,,,0.2857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,1.0,1584.64,1614.3799999999999
72,2018-06-09,Home,France,United States,D,0.125,0.125,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1610.82,1581.0800000000002
73,2018-06-09,Home,Spain,Tunisia,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1621.8600000000001,1595.7800000000002
74,2018-06-09,Home,Denmark,Mexico,W,0.125,0.125,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1615.16,1576.08
75,2018-06-11,Away,Senegal,Korea Republic,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1586.4599999999998,1574.96
76,2018-06-11,Away,Costa Rica,Belgium,L,0.125,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1558.4600000000003,1615.28
