Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,FW,60,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,AM,88,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,CB,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,LB,90,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,N,,8,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,N,,36,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,Y,AM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,N,,36,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,Y,AM,82,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,Y,CM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,Y,RB,73,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,Y,LB,81,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
