Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,LB,90,0,0,0,0,1,0,0,0,,,,,,1,,,,Match Report,39,1,0,0,0,0,1,0,26,32,81.3,0,1,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y*,CB,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,47,1,2,0,0,0,0,0,33,37,89.2,1,0,0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,DM,90,0,0,0,0,2,0,1,0,,,,,,1,,,,Match Report,49,1,1,0.1,0.1,0,0,0,28,39,71.8,3,0,1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,AM,90,0,1,0,0,3,1,0,0,,,,,,1,,,,Match Report,64,2,2,0.4,0.4,0.4,5,1,35,51,68.6,3,1,3
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,CB,80,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,55,2,2,0,0,0,0,0,44,48,91.7,0,0,0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,38,0,0,0,0,0,0,0,20,34,58.8,0,0,0
