Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,,18,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,RW,59,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y*,DM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,CB,72,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 0–2,ie Rep. of Ireland,fr France,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,2,2,0,1,1,0,1,0,1,1,1,0,2,4,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,DM,90,1,1,0,1,0,1,1,100,0,1,0,1,1,2,1,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,2,1,0,2,0,1,1,100,0,2,1,1,0,2,1,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,RW,90,1,1,0,1,0,1,4,25,3,0,0,0,0,1,1,0,Match Report
