Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LW,65,3,2,3,0,0,0,0,,0,0,0,0,2,5,0,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LB,90,2,1,2,0,0,1,1,100,0,4,2,2,8,10,9,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,CB,90,1,1,1,0,0,1,1,100,0,0,0,0,1,2,3,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y*,DM,72,3,3,2,1,0,2,2,100,0,1,0,1,2,5,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,DM,67,1,1,1,0,0,1,2,50,1,4,0,4,1,2,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y*,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,LW,70,1,1,0,1,0,0,2,0,2,1,0,1,3,4,1,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,LB,90,2,1,1,1,0,1,2,50,1,1,0,1,2,4,2,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,CB,90,3,3,3,0,0,2,2,100,0,2,2,0,1,4,1,0,Match Report
