Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,"RB,CB",90,1,1,0,1,0,0,0,,0,1,1,0,2,3,2,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,"DM,CM",90,4,3,3,1,0,2,5,40,3,0,0,0,1,5,1,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,LB,90,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,1,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y,"DM,CM,LM,AM",90,2,0,0,1,1,1,3,33.3,2,0,0,0,1,3,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,N,AM,32,2,1,0,1,1,0,0,,0,0,0,0,0,2,1,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y,RB,23,1,1,1,0,0,1,1,100,0,1,0,1,0,1,1,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y,LB,90,1,0,0,0,1,0,3,0,3,2,1,1,1,2,1,1,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y,"CM,RM,DM",58,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y,"CM,DM",90,1,1,0,1,0,0,5,0,5,1,1,0,3,4,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,Y*,FW,90,2,1,0,2,0,0,0,,0,1,0,1,1,3,0,0,Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 2–5,tn Tunisia,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,Y,CM,45,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,Y,"CM,AM",90,7,5,0,6,1,1,4,25,3,4,0,4,1,8,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,Y,DM,90,1,1,1,0,0,0,1,0,1,2,0,2,2,3,1,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,Y,LM,76,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 2–1,tn Tunisia,pa Panama,Y,FW,88,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,CM,61,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,LB,57,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,FW,68,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–1,tn Tunisia,es Spain,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,Y*,AM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,Y,AM,89,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,W 2–0,tn Tunisia,sz Eswatini,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
