Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ie Rep. of Ireland,tr Turkey,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,Y,FW,67,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,Y,RW,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,,21,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,RW,59,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,Y,CB,72,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,,18,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,eng England,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 0–2,ie Rep. of Ireland,fr France,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,DM,90,0,0,0,0,1,1,0,0,,,,,,1,,,,Match Report,73,1,1,0,0,0,2,0,54,67,80.6,8,0,0
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,"DM,CM",1,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,0,0,0,0,0,0,0,0,0,0,,0,0,0
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,0,0,0,0,0,0,1,0,,,,,,1,,,,Match Report,76,0,0,0,0,0,1,0,71,76,93.4,4,1,1
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,0,1,0,0,3,1,0,0,,,,,,0,,,,Match Report,91,2,2,0.2,0.2,0.5,2,1,69,80,86.3,3,1,2
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,FW,67,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,27,0,0,0,0,0.5,4,0,15,19,78.9,0,5,6
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,FW,23,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,12,1,0,0,0,0,0,0,6,8,75,0,1,2
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,RW,90,0,0,0,0,1,0,0,0,,,,,,0,,,,Match Report,73,1,0,0.1,0.1,0.3,8,0,58,73,79.5,3,3,3
